INFO: [SIM 2] *************** CSIM start ***************
INFO: [SIM 4] CSIM will launch CLANG as the compiler.
number = 0b011000011 leading one at 7
number = 0b011000100 leading one at 7
number = 0b011000101 leading one at 7
number = 0b011000110 leading one at 7
number = 0b011000111 leading one at 7
number = 0b011001000 leading one at 7
number = 0b011001001 leading one at 7
number = 0b011001010 leading one at 7
number = 0b011001011 leading one at 7
number = 0b011001100 leading one at 7
number = 0b011001101 leading one at 7
number = 0b011001110 leading one at 7
number = 0b011001111 leading one at 7
number = 0b011010000 leading one at 7
number = 0b011010001 leading one at 7
number = 0b011010010 leading one at 7
number = 0b011010011 leading one at 7
number = 0b011010100 leading one at 7
number = 0b011010101 leading one at 7
number = 0b011010110 leading one at 7
number = 0b011010111 leading one at 7
number = 0b011011000 leading one at 7
number = 0b011011001 leading one at 7
number = 0b011011010 leading one at 7
number = 0b011011011 leading one at 7
number = 0b011011100 leading one at 7
number = 0b011011101 leading one at 7
number = 0b011011110 leading one at 7
number = 0b011011111 leading one at 7
number = 0b011100000 leading one at 7
number = 0b011100001 leading one at 7
number = 0b011100010 leading one at 7
number = 0b011100011 leading one at 7
number = 0b011100100 leading one at 7
number = 0b011100101 leading one at 7
number = 0b011100110 leading one at 7
number = 0b011100111 leading one at 7
number = 0b011101000 leading one at 7
number = 0b011101001 leading one at 7
number = 0b011101010 leading one at 7
number = 0b011101011 leading one at 7
number = 0b011101100 leading one at 7
number = 0b011101101 leading one at 7
number = 0b011101110 leading one at 7
number = 0b011101111 leading one at 7
number = 0b011110000 leading one at 7
number = 0b011110001 leading one at 7
number = 0b011110010 leading one at 7
number = 0b011110011 leading one at 7
number = 0b011110100 leading one at 7
number = 0b011110101 leading one at 7
number = 0b011110110 leading one at 7
number = 0b011110111 leading one at 7
number = 0b011111000 leading one at 7
number = 0b011111001 leading one at 7
number = 0b011111010 leading one at 7
number = 0b011111011 leading one at 7
number = 0b011111100 leading one at 7
number = 0b011111101 leading one at 7
number = 0b011111110 leading one at 7
number = 0b011111111 leading one at 7
number = 0b100000000 leading one at 8
number = 0b100000001 leading one at 8
number = 0b100000010 leading one at 8
number = 0b100000011 leading one at 8
number = 0b100000100 leading one at 8
number = 0b100000101 leading one at 8
number = 0b100000110 leading one at 8
number = 0b100000111 leading one at 8
number = 0b100001000 leading one at 8
number = 0b100001001 leading one at 8
number = 0b100001010 leading one at 8
number = 0b100001011 leading one at 8
number = 0b100001100 leading one at 8
number = 0b100001101 leading one at 8
number = 0b100001110 leading one at 8
number = 0b100001111 leading one at 8
number = 0b100010000 leading one at 8
number = 0b100010001 leading one at 8
number = 0b100010010 leading one at 8
number = 0b100010011 leading one at 8
number = 0b100010100 leading one at 8
number = 0b100010101 leading one at 8
